"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_026780 Compare Regions (scaffold_9144:4,118-9,883:-1) View Sequence Alignments","43.27 %","35.09 %","n/a","n/a","No"
"Daucus carota","Many-to-many View Gene Tree","DCAR_013914 Compare Regions (4:26,418,176-26,420,271:1) View Sequence Alignments","60.55 %","60.55 %","n/a","84.96","Yes"
"Daucus carota","Many-to-many View Gene Tree","DCAR_013915 Compare Regions (4:26,413,669-26,416,735:1) View Sequence Alignments","63.67 %","64.36 %","n/a","0.00","No"
"Daucus carota","Many-to-many View Gene Tree","DCAR_027623 Compare Regions (8:21,118,781-21,122,442:-1) View Sequence Alignments","49.63 %","48.91 %","n/a","91.74","Yes"
"Daucus carota","Many-to-many View Gene Tree","DCAR_032124 Compare Regions (DCARv2_S3928.1:1,660-4,473:1) View Sequence Alignments","55.88 %","20.73 %","n/a","0.00","No"
"Dioscorea rotundata","Many-to-many View Gene Tree","DRNTG_06944 Compare Regions (2:5,754,892-5,758,978:-1) View Sequence Alignments","64.78 %","64.55 %","n/a","99.76","Yes"
"Dioscorea rotundata","Many-to-many View Gene Tree","DRNTG_06945 Compare Regions (2:5,755,264-5,756,876:-1) View Sequence Alignments","66.25 %","57.45 %","n/a","93.76","Yes"
"Echinochloa crus-galli","1-to-many View Gene Tree","scaffold104.118 Compare Regions (BH01:52,937,421-52,939,169:1) View Sequence Alignments","80.73 %","80.73 %","n/a","4.66","No"
"Echinochloa crus-galli","1-to-many View Gene Tree","scaffold293.53 Compare Regions (CH01:55,216,839-55,223,552:1) View Sequence Alignments","36.55 %","77.09 %","n/a","72.95","Yes"
"Echinochloa crus-galli","1-to-many View Gene Tree","scaffold52.159 Compare Regions (AH01:64,633,463-64,635,488:-1) View Sequence Alignments","78.32 %","79.45 %","n/a","98.86","Yes"
"Eragrostis curvula","1-to-many View Gene Tree","EJB05_08115 Compare Regions (5:43,687,277-43,689,035:1) View Sequence Alignments","83.42 %","83.27 %","n/a","14.70","No"
"Eragrostis curvula","1-to-many View Gene Tree","EJB05_08117 Compare Regions (5:43,691,911-43,696,191:1) View Sequence Alignments","49.71 %","78.91 %","n/a","84.35","Yes"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_F01768 Compare Regions (KK198758:22,970,118-22,973,681:-1) View Sequence Alignments","66.01 %","67.45 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02233 Compare Regions (KK198761:32,164,168-32,166,783:1) View Sequence Alignments","57.17 %","61.64 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02237 Compare Regions (KK198761:32,262,298-32,263,658:1) View Sequence Alignments","57.78 %","42.55 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02239 Compare Regions (KK198761:32,378,773-32,380,521:-1) View Sequence Alignments","45.96 %","40.36 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02241 Compare Regions (KK198761:32,434,791-32,436,708:-1) View Sequence Alignments","44.17 %","39.27 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02243 Compare Regions (KK198761:32,502,622-32,504,525:-1) View Sequence Alignments","44.07 %","38.55 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02260 Compare Regions (KK198761:32,918,291-32,919,868:-1) View Sequence Alignments","38.92 %","30.00 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02262 Compare Regions (KK198761:32,972,075-32,973,444:1) View Sequence Alignments","58.31 %","38.91 %","n/a","n/a","No"
"Eucalyptus grandis","Many-to-many View Gene Tree","EUGRSUZ_I02268 Compare Regions (KK198761:33,183,959-33,185,679:-1) View Sequence Alignments","43.49 %","37.64 %","n/a","n/a","No"
"Eutrema salsugineum","Many-to-many View Gene Tree","EUTSA_v10007137mg Compare Regions (KI517683:8,419,770-8,422,099:1) View Sequence Alignments","56.76 %","61.82 %","n/a","n/a","No"
"Eutrema salsugineum","Many-to-many View Gene Tree","EUTSA_v10019732mg Compare Regions (KI517953:1,908,578-1,910,603:1) View Sequence Alignments","51.37 %","51.09 %","n/a","n/a","No"
"Eutrema salsugineum","Many-to-many View Gene Tree","EUTSA_v10022605mg Compare Regions (KI517392:1,578,803-1,580,716:-1) View Sequence Alignments","55.30 %","60.73 %","n/a","n/a","No"
"Ficus carica","Many-to-many View Gene Tree","FCD_00004126 Compare Regions (7:1,556,898-1,558,932:-1) View Sequence Alignments","50.32 %","42.73 %","n/a","n/a","No"
"Ficus carica","Many-to-many View Gene Tree","FCD_00004128 Compare Regions (7:1,562,069-1,565,436:-1) View Sequence Alignments","64.23 %","65.64 %","n/a","n/a","No"
"Ficus carica","Many-to-many View Gene Tree","FCD_00010532 Compare Regions (5:20,207,762-20,214,607:1) View Sequence Alignments","44.33 %","47.64 %","n/a","n/a","No"
"Fraxinus excelsior","Many-to-many View Gene Tree","FRAEX38873_v2_000142280 Compare Regions (FTPI01002694.1:50,636-58,506:1) View Sequence Alignments","47.20 %","47.45 %","n/a","n/a","No"
"Fraxinus excelsior","Many-to-many View Gene Tree","FRAEX38873_v2_000274870 Compare Regions (FTPI01000055.1:67,783-78,515:-1) View Sequence Alignments","61.03 %","64.36 %","n/a","n/a","No"
"Fraxinus excelsior","Many-to-many View Gene Tree","FRAEX38873_v2_000331670 Compare Regions (FTPI01000710.1:35,852-39,912:1) View Sequence Alignments","57.27 %","58.73 %","n/a","n/a","No"
"Glycine max","Many-to-many View Gene Tree","GLYMA_01G232100 Compare Regions (1:55,877,346-55,879,494:-1) View Sequence Alignments","62.21 %","62.55 %","n/a","99.19","Yes"
"Glycine max","Many-to-many View Gene Tree","GLYMA_01G232200 Compare Regions (1:55,881,605-55,883,372:-1) View Sequence Alignments","57.84 %","58.36 %","n/a","11.32","No"
"Glycine max","Many-to-many View Gene Tree","GLYMA_02G042200 Compare Regions (2:3,972,516-3,976,898:1) View Sequence Alignments","55.69 %","60.55 %","n/a","82.98","Yes"
"Glycine max","Many-to-many View Gene Tree","GLYMA_11G014900 Compare Regions (11:1,029,017-1,031,439:-1) View Sequence Alignments","63.29 %","63.64 %","n/a","98.32","Yes"
"Glycine max","Many-to-many View Gene Tree","GLYMA_11G083800 Compare Regions (11:6,285,020-6,295,194:1) View Sequence Alignments","48.43 %","47.64 %","n/a","88.45","Yes"
"Glycine soja (Wild soybean)","Many-to-many View Gene Tree","LOC114367005 Compare Regions (CM014357.1:56,371,802-56,373,870:-1) View Sequence Alignments","62.21 %","62.55 %","n/a","n/a","No"
"Glycine soja (Wild soybean)","Many-to-many View Gene Tree","LOC114374308 Compare Regions (CM014367.1:6,325,643-6,335,816:1) View Sequence Alignments","48.43 %","47.64 %","n/a","n/a","No"
"Glycine soja (Wild soybean)","Many-to-many View Gene Tree","LOC114375975 Compare Regions (CM014367.1:1,030,567-1,032,917:-1) View Sequence Alignments","63.11 %","63.45 %","n/a","n/a","No"
"Glycine soja (Wild soybean)","Many-to-many View Gene Tree","LOC114381055 Compare Regions (CM014358.1:3,900,511-3,904,850:1) View Sequence Alignments","55.69 %","60.55 %","n/a","n/a","No"
"Glycine soja (Wild soybean)","Many-to-many View Gene Tree","LOC114405943 Compare Regions (CM014357.1:56,375,768-56,377,814:-1) View Sequence Alignments","57.84 %","58.36 %","n/a","n/a","No"
"Gossypium raimondii","Many-to-many View Gene Tree","B456_003G003300 Compare Regions (3:203,203-205,647:1) View Sequence Alignments","56.71 %","61.45 %","n/a","n/a","No"
"Gossypium raimondii","Many-to-many View Gene Tree","B456_003G003700 Compare Regions (3:225,640-229,682:-1) View Sequence Alignments","48.61 %","47.64 %","n/a","n/a","No"
"Gossypium raimondii","Many-to-many View Gene Tree","B456_005G113500 Compare Regions (5:21,639,748-21,642,365:-1) View Sequence Alignments","63.24 %","63.82 %","n/a","n/a","No"
"Gossypium raimondii","Many-to-many View Gene Tree","B456_012G158600 Compare Regions (12:33,175,586-33,177,157:-1) View Sequence Alignments","48.44 %","39.45 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr06g0277481 Compare Regions (6:142,295,138-142,298,287:1) View Sequence Alignments","63.42 %","59.27 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr07g0282141 Compare Regions (7:11,439,531-11,448,700:-1) View Sequence Alignments","50.16 %","56.91 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr09g0401531 Compare Regions (9:158,333,041-158,343,966:-1) View Sequence Alignments","49.67 %","55.27 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr14g0621101 Compare Regions (14:6,279,326-6,283,148:1) View Sequence Alignments","61.48 %","61.82 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr14g0621231 Compare Regions (14:6,555,393-6,559,080:1) View Sequence Alignments","64.38 %","64.73 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr15g0701151 Compare Regions (15:81,641,136-81,653,294:1) View Sequence Alignments","45.08 %","43.27 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr16g0777221 Compare Regions (16:202,668,428-202,674,160:1) View Sequence Alignments","42.47 %","45.64 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr16g0777271 Compare Regions (16:202,755,765-202,765,571:-1) View Sequence Alignments","56.88 %","61.64 %","n/a","n/a","No"
"Helianthus annuus","Many-to-many View Gene Tree","HanXRQr2_Chr17g0828841 Compare Regions (17:188,172,104-188,174,916:-1) View Sequence Alignments","53.67 %","58.55 %","n/a","n/a","No"
"Hordeum vulgare","1-to-1 View Gene Tree","HORVU.MOREX.r3.4HG0409410 Compare Regions (4H:586,082,631-586,084,383:1) View Sequence Alignments","79.56 %","65.09 %","n/a","100.00","Yes"
"Ipomoea triloba","Many-to-many View Gene Tree","itb01g35080 Compare Regions (1:37,488,942-37,492,038:1) View Sequence Alignments","62.84 %","63.64 %","n/a","n/a","No"
"Ipomoea triloba","Many-to-many View Gene Tree","itb01g35090 Compare Regions (1:37,493,891-37,495,780:1) View Sequence Alignments","60.04 %","60.36 %","n/a","n/a","No"
"Ipomoea triloba","Many-to-many View Gene Tree","itb01g35110 Compare Regions (1:37,499,848-37,500,462:1) View Sequence Alignments","49.51 %","18.36 %","n/a","91.14","No"
"Ipomoea triloba","Many-to-many View Gene Tree","itb01g35120 Compare Regions (1:37,500,635-37,500,928:1) View Sequence Alignments","57.73 %","10.18 %","n/a","n/a","No"
"Ipomoea triloba","Many-to-many View Gene Tree","itb05g24180 Compare Regions (5:29,044,868-29,049,037:-1) View Sequence Alignments","39.66 %","38.36 %","n/a","68.14","Yes"
"Ipomoea triloba","Many-to-many View Gene Tree","itb12g02460 Compare Regions (12:1,619,344-1,622,124:1) View Sequence Alignments","58.28 %","62.73 %","n/a","n/a","No"
"Juglans regia","Many-to-many View Gene Tree","Jr08_22610 Compare Regions (8:29,970,512-29,973,041:1) View Sequence Alignments","59.66 %","64.00 %","n/a","n/a","No"
"Juglans regia","Many-to-many View Gene Tree","Jr11_18830 Compare Regions (11:27,772,510-27,775,866:-1) View Sequence Alignments","64.65 %","66.18 %","n/a","n/a","No"
"Juglans regia","Many-to-many View Gene Tree","Jr13_05710 Compare Regions (13:4,204,817-4,208,464:-1) View Sequence Alignments","49.65 %","51.82 %","n/a","n/a","No"
"Juglans regia","Many-to-many View Gene Tree","Jr16_19170 Compare Regions (16:26,208,536-26,211,969:1) View Sequence Alignments","50.09 %","52.18 %","n/a","n/a","No"
"Kalanchoe fedtschenkoi","Many-to-many View Gene Tree","Kaladp0040s0596.v1.1 Compare Regions (Scaffold_40:5,399,788-5,402,807:1) View Sequence Alignments","61.91 %","62.36 %","n/a","n/a","No"
"Kalanchoe fedtschenkoi","Many-to-many View Gene Tree","Kaladp0082s0018.v1.1 Compare Regions (Scaffold_82:241,503-244,613:-1) View Sequence Alignments","59.08 %","49.09 %","n/a","n/a","No"
"Kalanchoe fedtschenkoi","Many-to-many View Gene Tree","Kaladp0095s0825.v1.1 Compare Regions (Scaffold_95:6,342,712-6,345,028:-1) View Sequence Alignments","56.80 %","60.73 %","n/a","n/a","No"
"Lablab purpureus Natoba","Many-to-many View Gene Tree","gene14260 Compare Regions (CM059255.1:1,406,741-1,408,883:-1) View Sequence Alignments","61.47 %","62.36 %","n/a","n/a","No"
"Lablab purpureus Natoba","Many-to-many View Gene Tree","gene15160 Compare Regions (CM059255.1:16,056,652-16,062,750:-1) View Sequence Alignments","48.13 %","46.73 %","n/a","n/a","No"
"Lablab purpureus Natoba","Many-to-many View Gene Tree","gene1850 Compare Regions (CM059256.1:33,009,726-33,018,710:1) View Sequence Alignments","55.88 %","59.64 %","n/a","n/a","No"
"Lactuca sativa","Many-to-many View Gene Tree","gene-LSAT_2X4080 Compare Regions (2:10,407,890-10,410,339:1) View Sequence Alignments","63.22 %","63.45 %","n/a","n/a","No"
"Lactuca sativa","Many-to-many View Gene Tree","gene-LSAT_3X70280 Compare Regions (3:93,610,179-93,613,342:1) View Sequence Alignments","55.83 %","60.91 %","n/a","n/a","No"
"Lactuca sativa","Many-to-many View Gene Tree","gene-LSAT_3X70321 Compare Regions (3:93,644,130-93,645,655:-1) View Sequence Alignments","43.60 %","36.55 %","n/a","n/a","No"
"Lactuca sativa","Many-to-many View Gene Tree","gene-LSAT_6X6980 Compare Regions (6:9,805,547-9,807,649:1) View Sequence Alignments","52.61 %","58.55 %","n/a","n/a","No"
"Lactuca sativa","Many-to-many View Gene Tree","gene-LSAT_8X115761 Compare Regions (8:178,250,240-178,253,144:-1) View Sequence Alignments","45.19 %","39.27 %","n/a","n/a","No"
"Lathyrus sativus","Many-to-many View Gene Tree","gene-LATHSAT_LOCUS15460 Compare Regions (OZ012738.1:409,487,496-409,493,670:1) View Sequence Alignments","58.26 %","58.36 %","n/a","n/a","No"
"Lathyrus sativus","Many-to-many View Gene Tree","gene-LATHSAT_LOCUS15461 Compare Regions (OZ012738.1:409,576,929-409,579,005:-1) View Sequence Alignments","54.97 %","59.27 %","n/a","n/a","No"
"Lathyrus sativus","Many-to-many View Gene Tree","gene-LATHSAT_LOCUS8390 Compare Regions (OZ012736.1:508,251,316-508,253,144:-1) View Sequence Alignments","61.04 %","61.82 %","n/a","n/a","No"
"Lathyrus sativus","Many-to-many View Gene Tree","gene-LATHSAT_LOCUS9119 Compare Regions (OZ012736.1:538,605,268-538,608,519:1) View Sequence Alignments","43.60 %","44.00 %","n/a","n/a","No"
"Leersia perrieri","1-to-1 View Gene Tree","LPERR03G02490 Compare Regions (3:1,850,099-1,860,877:-1) View Sequence Alignments","32.86 %","88.91 %","100","70.37","Yes"
"Lolium perenne","1-to-many View Gene Tree","KYUSg_chr4.50752 Compare Regions (4:314,582,722-314,593,127:1) View Sequence Alignments","50.23 %","38.91 %","n/a","n/a","No"
"Lolium perenne","1-to-many View Gene Tree","KYUSg_chr4.50756 Compare Regions (4:314,609,594-314,610,007:1) View Sequence Alignments","83.21 %","20.73 %","n/a","n/a","No"
"Lolium perenne","1-to-many View Gene Tree","KYUSg_chr4.50764 Compare Regions (4:314,648,709-314,650,490:1) View Sequence Alignments","82.55 %","80.00 %","n/a","99.11","Yes"
"Lupinus angustifolius","Many-to-many View Gene Tree","TanjilG_04791 Compare Regions (LG18:673,959-676,548:-1) View Sequence Alignments","54.81 %","59.09 %","n/a","83.28","Yes"
"Lupinus angustifolius","Many-to-many View Gene Tree","TanjilG_17980 Compare Regions (LG18:16,261,066-16,262,964:1) View Sequence Alignments","61.55 %","62.00 %","n/a","88.69","Yes"
"Lupinus angustifolius","Many-to-many View Gene Tree","TanjilG_22074 Compare Regions (LG17:1,013,854-1,017,366:-1) View Sequence Alignments","46.89 %","48.00 %","n/a","82.54","Yes"
"Malus domestica Golden","Many-to-many View Gene Tree","MD02G0102200 Compare Regions (2:9,779,472-9,785,055:-1) View Sequence Alignments","50.83 %","50.18 %","n/a","84.53","Yes"
"Malus domestica Golden","Many-to-many View Gene Tree","MD05G0021600 Compare Regions (5:4,360,355-4,364,043:1) View Sequence Alignments","64.80 %","65.27 %","n/a","95.51","Yes"
"Malus domestica Golden","Many-to-many View Gene Tree","MD15G0205300 Compare Regions (15:19,123,334-19,127,628:1) View Sequence Alignments","54.05 %","43.64 %","n/a","89.82","Yes"
"Malus domestica Golden","Many-to-many View Gene Tree","MD15G0205500 Compare Regions (15:19,189,039-19,194,488:-1) View Sequence Alignments","49.44 %","47.82 %","n/a","10.88","No"
"Manihot esculenta","Many-to-many View Gene Tree","Manes.01G153500.v8.1 Compare Regions (CM004387.2:34,074,305-34,077,062:-1) View Sequence Alignments","58.99 %","63.82 %","n/a","n/a","No"
"Manihot esculenta","Many-to-many View Gene Tree","Manes.02G112300.v8.1 Compare Regions (CM004388.2:8,659,337-8,662,468:1) View Sequence Alignments","49.82 %","50.00 %","n/a","n/a","No"
"Manihot esculenta","Many-to-many View Gene Tree","Manes.05G134100.v8.1 Compare Regions (CM004391.2:23,552,718-23,556,653:1) View Sequence Alignments","66.12 %","66.00 %","n/a","n/a","No"
"Marchantia polymorpha","Many-to-many View Gene Tree","Mp1g00320 Compare Regions (1:322,157-325,843:1) View Sequence Alignments","52.32 %","53.27 %","n/a","n/a","Yes"
"Marchantia polymorpha","Many-to-many View Gene Tree","Mp1g10910 Compare Regions (1:11,450,980-11,454,698:-1) View Sequence Alignments","56.99 %","57.09 %","n/a","n/a","Yes"
"Medicago truncatula","Many-to-many View Gene Tree","gene28390 Compare Regions (CM010652.1:1,941,078-1,944,514:-1) View Sequence Alignments","60.07 %","60.18 %","n/a","n/a","No"
"Medicago truncatula","Many-to-many View Gene Tree","gene28393 Compare Regions (CM010652.1:1,959,538-1,961,760:-1) View Sequence Alignments","55.66 %","55.45 %","n/a","n/a","No"
"Medicago truncatula","Many-to-many View Gene Tree","gene29463 Compare Regions (CM010652.1:9,444,126-9,450,194:1) View Sequence Alignments","44.00 %","46.00 %","n/a","n/a","No"
"Medicago truncatula","Many-to-many View Gene Tree","gene48240 Compare Regions (CM010655.1:33,781,649-33,785,958:1) View Sequence Alignments","53.71 %","59.27 %","n/a","n/a","No"
"Medicago truncatula","Many-to-many View Gene Tree","gene48243 Compare Regions (CM010655.1:33,811,934-33,813,484:1) View Sequence Alignments","57.17 %","53.64 %","n/a","n/a","No"
"Musa acuminata","Many-to-many View Gene Tree","Ma02_g12960 Compare Regions (CAJGYN010000002.1:21,529,360-21,532,247:1) View Sequence Alignments","66.61 %","68.55 %","n/a","99.04","Yes"
"Musa acuminata","Many-to-many View Gene Tree","Ma03_g15270 Compare Regions (CAJGYN010000003.1:15,070,129-15,077,550:-1) View Sequence Alignments","67.88 %","68.00 %","n/a","86.06","Yes"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE2_0  (A4A49_00121) Compare Regions (12:12,363,028-12,369,132:-1) View Sequence Alignments","55.43 %","61.27 %","n/a","82.37","Yes"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE2_1  (A4A49_05963) Compare Regions (scaffold00114:679,875-684,009:1) View Sequence Alignments","59.38 %","62.73 %","n/a","0.00","No"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE2_2  (A4A49_12858) Compare Regions (2:66,426,586-66,427,840:1) View Sequence Alignments","65.44 %","32.36 %","n/a","0.00","No"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE1_1  (A4A49_21542) Compare Regions (scaffold02389:39,955-44,899:1) View Sequence Alignments","48.54 %","48.36 %","n/a","96.62","Yes"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE1_0  (A4A49_24633) Compare Regions (scaffold01763:20,987-26,674:-1) View Sequence Alignments","63.72 %","64.18 %","n/a","0.00","No"
"Nicotiana attenuata","Many-to-many View Gene Tree","AAE2_3  (A4A49_32993) Compare Regions (scaffold01558:65,562-69,306:1) View Sequence Alignments","56.35 %","60.55 %","n/a","0.00","No"
"Nymphaea colorata","1-to-many View Gene Tree","NC9G0172740 Compare Regions (9:12,774,840-12,779,277:1) View Sequence Alignments","65.77 %","66.36 %","n/a","100.00","Yes"
"Olea europaea","Many-to-many View Gene Tree","OE9A020977 Compare Regions (CACTIH010002030.1:306,706-307,440:1) View Sequence Alignments","61.07 %","27.09 %","n/a","n/a","No"
"Olea europaea","Many-to-many View Gene Tree","OE9A044150 Compare Regions (CACTIH010002030.1:305,112-306,493:1) View Sequence Alignments","45.53 %","10.18 %","n/a","n/a","No"
"Olea europaea","Many-to-many View Gene Tree","OE9A074524 Compare Regions (CACTIH010003857.1:60,256-61,250:-1) View Sequence Alignments","32.62 %","8.36 %","n/a","n/a","No"
"Olea europaea","Many-to-many View Gene Tree","OE9A099814 Compare Regions (CACTIH010002030.1:277,816-281,648:1) View Sequence Alignments","57.89 %","62.00 %","n/a","n/a","No"
"Olea europaea","Many-to-many View Gene Tree","OE9A105500 Compare Regions (5:11,528,646-11,531,668:-1) View Sequence Alignments","64.25 %","66.00 %","n/a","n/a","No"
"Olea europaea","Many-to-many View Gene Tree","OE9A110893 Compare Regions (1:21,890,377-21,910,668:-1) View Sequence Alignments","24.27 %","46.73 %","n/a","n/a","No"
"Oryza barthii","1-to-1 View Gene Tree","OBART03G02670 Compare Regions (3:1,765,672-1,780,242:-1) View Sequence Alignments","46.19 %","99.27 %","75","99.11","Yes"
"Oryza brachyantha","1-to-1 View Gene Tree","OB03G12680 Compare Regions (3:1,599,390-1,600,971:-1) View Sequence Alignments","89.54 %","80.91 %","100","100.00","Yes"
"Oryza glaberrima","1-to-1 View Gene Tree","ORGLA03G0024800 Compare Regions (3:1,776,698-1,778,441:-1) View Sequence Alignments","99.45 %","99.45 %","100","100.00","Yes"
"Oryza glumipatula","1-to-1 View Gene Tree","OGLUM03G02600 Compare Regions (3:1,901,325-1,903,068:-1) View Sequence Alignments","96.97 %","98.91 %","100","100.00","Yes"
"Oryza sativa Indica Group","1-to-1 View Gene Tree","BGIOSGA011513 Compare Regions (3:2,115,002-2,116,745:-1) View Sequence Alignments","100.00 %","100.00 %","100","100.00","Yes"
"Oryza longistaminata","1-to-1 View Gene Tree","KN538902.1_FG007 Compare Regions (KN538902.1:169,919-171,661:1) View Sequence Alignments","93.62 %","98.73 %","100","100.00","Yes"
"Oryza meridionalis","1-to-1 View Gene Tree","OMERI03G02520 Compare Regions (3:2,163,636-2,176,973:-1) View Sequence Alignments","41.89 %","98.18 %","100","77.53","Yes"
"Oryza nivara","1-to-1 View Gene Tree","ONIVA03G02300 Compare Regions (3:1,559,648-1,569,425:-1) View Sequence Alignments","43.09 %","99.82 %","100","95.32","Yes"
"Oryza punctata","1-to-1 View Gene Tree","OPUNC03G02470 Compare Regions (3:1,810,544-1,824,178:-1) View Sequence Alignments","43.88 %","94.55 %","100","73.83","Yes"
"Oryza rufipogon","1-to-1 View Gene Tree","ORUFI03G02420 Compare Regions (3:1,613,234-1,627,734:-1) View Sequence Alignments","46.36 %","99.64 %","75","100.00","Yes"
"Papaver somniferum","Many-to-many View Gene Tree","C5167_011050 Compare Regions (6:141,495,345-141,497,718:-1) View Sequence Alignments","57.89 %","62.00 %","n/a","n/a","No"
"Papaver somniferum","Many-to-many View Gene Tree","C5167_025802 Compare Regions (5:211,166,973-211,169,166:1) View Sequence Alignments","65.65 %","66.36 %","n/a","n/a","No"
"Papaver somniferum","Many-to-many View Gene Tree","C5167_038667 Compare Regions (1:119,441,602-119,448,888:-1) View Sequence Alignments","32.31 %","66.73 %","n/a","n/a","No"
"Papaver somniferum","Many-to-many View Gene Tree","C5167_038669 Compare Regions (1:119,449,329-119,451,719:-1) View Sequence Alignments","58.40 %","62.55 %","n/a","n/a","No"
"Phaseolus vulgaris","Many-to-many View Gene Tree","PHAVU_002G035000g Compare Regions (2:3,496,065-3,498,323:1) View Sequence Alignments","61.54 %","62.55 %","n/a","98.72","Yes"
"Phaseolus vulgaris","Many-to-many View Gene Tree","PHAVU_002G114400g Compare Regions (2:23,251,016-23,256,546:1) View Sequence Alignments","46.84 %","39.09 %","n/a","83.72","Yes"
"Phaseolus vulgaris","Many-to-many View Gene Tree","PHAVU_003G268800g Compare Regions (3:49,509,748-49,513,063:-1) View Sequence Alignments","56.25 %","60.55 %","n/a","83.80","Yes"
"Physcomitrium patens","1-to-many View Gene Tree","Pp3c2_5280 Compare Regions (2:3,502,365-3,505,450:-1) View Sequence Alignments","54.04 %","54.73 %","n/a","86.39","Yes"
"Pistacia vera","Many-to-many View Gene Tree","EVM0012017 Compare Regions (Contig289:248,615-252,529:-1) View Sequence Alignments","50.82 %","50.73 %","n/a","86.08","Yes"
"Pistacia vera","Many-to-many View Gene Tree","EVM0013941 Compare Regions (Contig1114:85,070-87,362:-1) View Sequence Alignments","64.86 %","65.09 %","n/a","99.94","Yes"
"Pistacia vera","Many-to-many View Gene Tree","EVM0018609 Compare Regions (Contig289:215,697-218,054:1) View Sequence Alignments","59.69 %","62.18 %","n/a","0.00","No"
"Pisum sativum","Many-to-many View Gene Tree","Psat0s1389g0320 Compare Regions (CAADHX020004031.1:454,436-457,582:1) View Sequence Alignments","57.82 %","57.82 %","n/a","n/a","No"
"Pisum sativum","Many-to-many View Gene Tree","Psat0s1389g0360 Compare Regions (CAADHX020004031.1:518,146-525,951:-1) View Sequence Alignments","33.16 %","59.27 %","n/a","n/a","No"
"Pisum sativum","Many-to-many View Gene Tree","Psat2g130040 Compare Regions (2LG1:337,202,561-337,205,097:-1) View Sequence Alignments","43.97 %","39.09 %","n/a","n/a","No"
"Pisum sativum","Many-to-many View Gene Tree","Psat2g186320 Compare Regions (2LG1:424,314,209-424,316,167:1) View Sequence Alignments","60.54 %","61.09 %","n/a","n/a","No"
"Pisum sativum","Many-to-many View Gene Tree","Psat2g186440 Compare Regions (2LG1:424,351,063-424,352,972:1) View Sequence Alignments","58.20 %","58.73 %","n/a","n/a","No"
"Pisum sativum Garden pea","Many-to-many View Gene Tree","KIW84_024385 Compare Regions (CM044346.1:435,774,434-435,777,464:-1) View Sequence Alignments","44.61 %","44.36 %","n/a","n/a","No"
"Pisum sativum Garden pea","Many-to-many View Gene Tree","KIW84_025463 Compare Regions (CM044346.1:488,745,187-488,747,024:1) View Sequence Alignments","60.54 %","61.09 %","n/a","n/a","No"
"Pisum sativum Garden pea","Many-to-many View Gene Tree","KIW84_025464 Compare Regions (CM044346.1:488,781,907-488,783,695:1) View Sequence Alignments","58.20 %","58.73 %","n/a","n/a","No"
"Pisum sativum Garden pea","Many-to-many View Gene Tree","KIW84_043146 Compare Regions (CM044348.1:232,676,733-232,698,406:1) View Sequence Alignments","51.37 %","58.00 %","n/a","n/a","No"
"Pisum sativum Garden pea","Many-to-many View Gene Tree","KIW84_043147 Compare Regions (CM044348.1:232,698,846-232,700,963:-1) View Sequence Alignments","54.24 %","59.27 %","n/a","n/a","No"
"Pisum sativum JI2822","Many-to-many View Gene Tree","PSAT_LOCUS16953 Compare Regions (OZ075431.1:279,181,651-279,183,782:1) View Sequence Alignments","54.24 %","59.27 %","n/a","n/a","No"
"Pisum sativum JI2822","Many-to-many View Gene Tree","PSAT_LOCUS16954 Compare Regions (OZ075431.1:279,235,396-279,253,206:-1) View Sequence Alignments","51.37 %","58.00 %","n/a","n/a","No"
